Time (s),Current (A)
1.4833984375,-4.656613e-09
1.484375,-8.731149e-09
1.4853515625,-7.712515e-09
1.486328125,-4.656613e-09
1.4873046875,-7.712515e-09
1.48828125,-4.656613e-09
1.4892578125,-7.712515e-09
1.490234375,-3.637979e-09
1.4912109375,2.473826e-09
1.4921875,-2.619345e-09
1.4931640625,-2.619345e-09
1.494140625,-3.637979e-09
1.4951171875,-3.637979e-09
1.49609375,-7.712515e-09
1.4970703125,-8.731149e-09
1.498046875,-8.731149e-09
1.4990234375,-6.693881e-09
1.5,-5.675247e-09
1.5009765625,-1.600711e-09
1.501953125,-2.619345e-09
1.5029296875,-1.600711e-09
1.50390625,-4.656613e-09
1.5048828125,-8.731149e-09
1.505859375,-6.693881e-09
1.5068359375,-1.600711e-09
1.5078125,-4.656613e-09
1.5087890625,-6.693881e-09
1.509765625,-8.731149e-09
1.5107421875,4.365575e-10
1.51171875,-6.693881e-09
1.5126953125,-5.820766e-10
1.513671875,-8.731149e-09
1.5146484375,-8.731149e-09
1.515625,-6.693881e-09
1.5166015625,-6.693881e-09
1.517578125,-1.600711e-09
1.5185546875,-1.600711e-09
1.51953125,-5.820766e-10
1.5205078125,-2.619345e-09
1.521484375,-2.619345e-09
1.5224609375,-6.693881e-09
1.5234375,-4.656613e-09
1.5244140625,-4.656613e-09
1.525390625,-6.693881e-09
1.5263671875,-3.637979e-09
1.52734375,-3.637979e-09
1.5283203125,2.473826e-09
1.529296875,2.473826e-09
1.5302734375,-6.693881e-09
1.53125,-5.675247e-09
1.5322265625,-6.693881e-09
1.533203125,-7.712515e-09
1.5341796875,-8.731149e-09
1.53515625,-2.619345e-09
1.5361328125,-2.619345e-09
1.537109375,-1.600711e-09
1.5380859375,-5.675247e-09
1.5390625,-9.749783e-09
1.5400390625,-2.619345e-09
1.541015625,-5.675247e-09
1.5419921875,-3.637979e-09
1.54296875,-1.178705e-08
1.5439453125,-6.693881e-09
1.544921875,-1.600711e-09
1.5458984375,4.365575e-10
1.546875,-3.637979e-09
1.5478515625,-2.619345e-09
1.548828125,-6.693881e-09
1.5498046875,-5.675247e-09
1.55078125,-4.656613e-09
1.5517578125,-4.656613e-09
1.552734375,-9.749783e-09
1.5537109375,-4.656613e-09
1.5546875,1.455192e-09
1.5556640625,-2.619345e-09
1.556640625,-1.600711e-09
1.5576171875,4.365575e-10
1.55859375,-3.637979e-09
1.5595703125,-7.712515e-09
1.560546875,-3.637979e-09
1.5615234375,-3.637979e-09
1.5625,-3.637979e-09
1.5634765625,-5.675247e-09
1.564453125,-7.712515e-09
1.5654296875,-7.712515e-09
1.56640625,-5.675247e-09
1.5673828125,-4.656613e-09
1.568359375,-6.693881e-09
1.5693359375,-8.731149e-09
1.5703125,-1.178705e-08
1.5712890625,-6.693881e-09
1.572265625,-3.637979e-09
1.5732421875,4.365575e-10
1.57421875,4.365575e-10
1.5751953125,-7.712515e-09
1.576171875,-3.637979e-09
1.5771484375,-8.731149e-09
1.578125,-5.675247e-09
1.5791015625,-4.656613e-09
1.580078125,-8.731149e-09
1.5810546875,-6.693881e-09
1.58203125,2.473826e-09
1.5830078125,-1.600711e-09
1.583984375,-1.600711e-09
1.5849609375,-2.619345e-09
1.5859375,1.455192e-09
1.5869140625,-6.693881e-09
1.587890625,-9.749783e-09
1.5888671875,-6.693881e-09
1.58984375,-2.619345e-09
1.5908203125,4.365575e-10
1.591796875,-8.731149e-09
1.5927734375,-3.637979e-09
1.59375,-3.637979e-09
1.5947265625,-2.619345e-09
1.595703125,-2.619345e-09
1.5966796875,-3.637979e-09
1.59765625,-1.076842e-08
1.5986328125,-4.656613e-09
1.599609375,-3.637979e-09
1.6005859375,-3.637979e-09
1.6015625,1.455192e-09
1.6025390625,-5.820766e-10
1.603515625,-8.731149e-09
1.6044921875,-7.712515e-09
1.60546875,-8.731149e-09
1.6064453125,-3.637979e-09
1.607421875,-7.712515e-09
1.6083984375,-3.637979e-09
1.609375,-4.656613e-09
1.6103515625,-1.600711e-09
1.611328125,-5.820766e-10
1.6123046875,-1.600711e-09
1.61328125,-4.656613e-09
1.6142578125,-9.749783e-09
1.615234375,-3.637979e-09
1.6162109375,-5.675247e-09
1.6171875,-2.619345e-09
1.6181640625,-3.637979e-09
1.619140625,-3.637979e-09
1.6201171875,-3.637979e-09
1.62109375,-5.675247e-09
1.6220703125,4.365575e-10
1.623046875,-4.656613e-09
1.6240234375,-4.656613e-09
1.625,-6.693881e-09
1.6259765625,-6.693881e-09
1.626953125,-4.656613e-09
1.6279296875,-2.619345e-09
1.62890625,4.365575e-10
1.6298828125,-5.820766e-10
1.630859375,-1.600711e-09
1.6318359375,4.365575e-10
1.6328125,-4.656613e-09
1.6337890625,-5.675247e-09
1.634765625,-7.712515e-09
1.6357421875,-7.712515e-09
1.63671875,-6.693881e-09
1.6376953125,-3.637979e-09
1.638671875,-3.637979e-09
1.6396484375,-5.820766e-10
1.640625,-5.675247e-09
1.6416015625,-8.731149e-09
1.642578125,-8.731149e-09
1.6435546875,-4.656613e-09
1.64453125,-5.675247e-09
1.6455078125,-4.656613e-09
1.646484375,-1.600711e-09
1.6474609375,-2.619345e-09
1.6484375,-1.178705e-08
1.6494140625,-7.712515e-09
1.650390625,-4.656613e-09
1.6513671875,-5.675247e-09
1.65234375,-1.076842e-08
1.6533203125,-1.076842e-08
1.654296875,-5.675247e-09
1.6552734375,2.473826e-09
1.65625,-5.820766e-10
1.6572265625,-1.600711e-09
1.658203125,4.365575e-10
1.6591796875,-2.619345e-09
1.66015625,-5.675247e-09
1.6611328125,-5.675247e-09
1.662109375,-1.600711e-09
1.6630859375,-8.731149e-09
1.6640625,-4.656613e-09
1.6650390625,-5.675247e-09
1.666015625,1.455192e-09
1.6669921875,2.473826e-09
1.66796875,4.365575e-10
1.6689453125,-3.637979e-09
1.669921875,-6.693881e-09
1.6708984375,-1.076842e-08
1.671875,-4.656613e-09
1.6728515625,-2.619345e-09
1.673828125,-2.619345e-09
1.6748046875,-6.693881e-09
1.67578125,-5.675247e-09
1.6767578125,-1.076842e-08
1.677734375,-4.656613e-09
1.6787109375,-7.712515e-09
1.6796875,-5.675247e-09
1.6806640625,-1.178705e-08
1.681640625,-5.675247e-09
1.6826171875,-6.693881e-09
1.68359375,-2.619345e-09
1.6845703125,-3.637979e-09
1.685546875,-5.675247e-09
1.6865234375,-6.693881e-09
1.6875,-4.656613e-09
1.6884765625,-6.693881e-09
1.689453125,-8.731149e-09
1.6904296875,-6.693881e-09
1.69140625,-3.637979e-09
1.6923828125,-1.600711e-09
1.693359375,-2.619345e-09
1.6943359375,4.511094e-09
1.6953125,-2.619345e-09
1.6962890625,-6.693881e-09
1.697265625,-1.178705e-08
1.6982421875,-4.656613e-09
1.69921875,-5.675247e-09
1.7001953125,-4.656613e-09
1.701171875,-5.820766e-10
1.7021484375,-4.656613e-09
